Matt Leinart,N/A,N/A,8,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Locker,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J.P. Losman,N/A,N/A,N/A,4,10,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Luck,N/A,N/A,13,15,16,N/A,16,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Mallett,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eli Manning,N/A,N/A,-1,15,12,10,12,13,12,15,16,7,13,14,9,7,12,N/A,N/A
EJ Manuel,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnny Manziel,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh McCown,N/A,N/A,N/A,3,7,5,N/A,1,N/A,N/A,N/A,N/A,N/A,8,4,5,N/A,9,N/A
Luke McCown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A
Cam Newton,N/A,19,16,16,12,21,11,15,14,N/A,12,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J.T. O'Sullivan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Orlovsky,N/A,N/A,N/A,N/A,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Orton,N/A,N/A,2,N/A,N/A,9,10,11,2,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brock Osweiler,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Curtis Painter,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carson Palmer,N/A,N/A,N/A,N/A,8,16,14,14,N/A,10,11,8,10,11,N/A,16,12,N/A,N/A
Christian Ponder,N/A,N/A,5,11,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrelle Pryor,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brady Quinn,N/A,N/A,N/A,N/A,2,N/A,N/A,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick Ramsey,N/A,N/A,4,7,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Philip Rivers,N/A,N/A,N/A,N/A,18,13,17,19,17,17,10,16,13,12,13,13,14,13,13
Ben Roethlisberger,N/A,12,11,11,14,11,14,12,12,10,13,16,12,12,14,14,N/A,10,9
JaMarcus Russell,N/A,N/A,7,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Sanchez,N/A,N/A,6,9,8,5,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Savage,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Schaub,N/A,N/A,N/A,2,1,8,10,15,17,8,11,3,0,N/A,N/A,N/A,N/A,N/A,N/A
Chris Simms,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Skelton,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Smith,-3,10,N/A,N/A,7,6,13,7,14,14,16,12,17,6,N/A,1,N/A,N/A,N/A
Brad Smith,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drew Stanton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Tebow,N/A,N/A,3,8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Thigpen,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seneca Wallace,N/A,N/A,N/A,N/A,N/A,3,1,5,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Walter,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Webb,N/A,N/A,N/A,N/A,2,N/A,0,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Weeden,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vince Young,N/A,N/A,9,9,N/A,8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
