Alex Brown,N/A,N/A,5,8,10,10,11,4,9,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Everette Brown,N/A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armonty Bryant,N/A,N/A,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Red Bryant,N/A,N/A,N/A,N/A,N/A,N/A,8,8,8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Buchanan,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shilique Calhoun,N/A,N/A,N/A,1,1,N/A,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Canty,N/A,N/A,3,6,7,7,2,N/A,N/A,N/A,7,5,4,N/A,N/A,N/A,N/A,N/A
Tank Carradine,N/A,N/A,N/A,1,2,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Carriker,N/A,N/A,N/A,N/A,N/A,7,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Carrington,N/A,N/A,1,3,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jurrell Casey,N/A,N/A,N/A,N/A,7,9,11,10,12,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luis Castillo,N/A,7,5,5,7,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Catapano,N/A,N/A,1,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Chickillo,N/A,N/A,N/A,N/A,2,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Clarke,N/A,N/A,N/A,1,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrian Clayborn,N/A,N/A,5,N/A,7,N/A,3,4,4,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A
Trent Cole,N/A,N/A,4,8,13,10,12,7,7,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenyon Coleman,N/A,N/A,N/A,2,1,3,2,7,7,5,8,7,N/A,N/A,N/A,N/A,N/A,N/A
Quinton Coples,N/A,3,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Covington,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jack Crawford,N/A,N/A,N/A,N/A,1,N/A,2,5,N/A,N/A,2,4,N/A,N/A,N/A,N/A,N/A,N/A
Tyrone Crawford,N/A,N/A,1,N/A,N/A,N/A,7,7,7,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Crichton,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared Crick,N/A,N/A,2,2,N/A,10,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Crowder,N/A,2,N/A,3,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vinny Curry,N/A,N/A,N/A,N/A,2,2,1,2,8,3,3,3,N/A,1,N/A,N/A,N/A,N/A
Mike Daniels,N/A,N/A,N/A,N/A,7,9,7,9,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl Davis,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chauncey Davis,N/A,4,6,2,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dorsett Davis,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Davis,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keyunta Dawson,N/A,4,N/A,2,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Deaderick,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Denney,N/A,N/A,N/A,N/A,1,7,3,2,3,N/A,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Quinton Dial,N/A,N/A,N/A,N/A,6,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darnell Dockett,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,10,8,8,8,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Dodd,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glenn Dorsey,N/A,N/A,N/A,7,9,6,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elvis Dumervil,N/A,2,7,4,N/A,N/A,N/A,N/A,3,11,N/A,2,1,N/A,N/A,N/A,N/A,N/A
Carlos Dunlap,2,2,5,10,9,13,11,8,6,8,N/A,3,2,N/A,N/A,N/A,N/A,N/A
Kony Ealy,N/A,N/A,1,5,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Eason,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwan Edwards,N/A,N/A,N/A,N/A,N/A,6,N/A,7,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kalimba Edwards,N/A,N/A,3,1,2,4,5,2,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ray Edwards,2,6,8,8,7,8,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Duke Ejiofor,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sedrick Ellis,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Emanuel,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larry English,N/A,N/A,2,2,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
