Player,AV,Age,Pos
Chris Canty,3,23,DE
Chris Canty,6,24,RDE
Chris Canty,7,25,RDE
Chris Canty,7,26,RDE
Chris Canty,2,27,DE
Chris Canty,7,31,RDE
Chris Canty,5,32,RDE
Chris Canty,4,33,RDE
Tank Carradine,1,24,DE
Tank Carradine,2,25,DE
Tank Carradine,1,26,DE
Tank Carradine,3,27,DE
Adam Carriker,7,26,LDE
Adam Carriker,6,27,LDE
Alex Carrington,1,23,DE
Alex Carrington,3,24,LDE
Alex Carrington,1,25,DE
Alex Carrington,1,27,DE
Jurrell Casey,7,25,RDE
Jurrell Casey,9,26,RDE
Jurrell Casey,11,27,RDE
Jurrell Casey,10,28,RDE
Jurrell Casey,12,29,RDE/NT
Jurrell Casey,11,30,RDE
Luis Castillo,7,22,LDE
Luis Castillo,5,23,LDE
Luis Castillo,5,24,RDE
Luis Castillo,7,25,RDE
Luis Castillo,6,26,RDE
Luis Castillo,7,27,RDE
Mike Catapano,1,23,DE
Mike Catapano,2,26,DE
Anthony Chickillo,2,25,DE
Anthony Chickillo,2,26,DE
Anthony Chickillo,1,27,DE
Anthony Chickillo,1,28,DE
Will Clarke,1,24,DE
Will Clarke,2,25,DE
Will Clarke,2,26,DE
Adrian Clayborn,5,23,RDE
Adrian Clayborn,7,25,RDE
Adrian Clayborn,3,27,DE
Adrian Clayborn,4,28,LDE
Adrian Clayborn,4,29,DE
Adrian Clayborn,2,30,DE
Adrian Clayborn,2,31,DE
Adrian Clayborn,2,32,DE
Trent Cole,4,23,RDE
Trent Cole,8,24,LDE/RDE
Trent Cole,13,25,RDE
Trent Cole,10,26,RDE
Trent Cole,12,27,RDE
Trent Cole,7,28,RDE
Trent Cole,7,29,RDE
Trent Cole,6,30,RDE
Kenyon Coleman,2,24,DE
Kenyon Coleman,1,25,DE
Kenyon Coleman,3,26,LDE
Kenyon Coleman,2,27,DE
Kenyon Coleman,7,28,RDE
Kenyon Coleman,7,29,RDE
Kenyon Coleman,5,30,LDE
Kenyon Coleman,8,31,LDE
Kenyon Coleman,7,32,LDE
Quinton Coples,3,22,DE
Quinton Coples,2,25,DE
Christian Covington,4,23,LDE
Jack Crawford,1,25,DE
Jack Crawford,2,27,DE
Jack Crawford,5,28,RDE/LDE
Jack Crawford,2,31,DE
Jack Crawford,4,32,DE
Tyrone Crawford,1,23,DE
Tyrone Crawford,7,27,LDE/LDT
Tyrone Crawford,7,28,RDE
Tyrone Crawford,7,29,RDE
Tyrone Crawford,2,31,DE
Scott Crichton,1,23,DE
Scott Crichton,1,24,DE
Jared Crick,2,23,DE
Jared Crick,2,24,DE
Jared Crick,10,26,LDE
Jared Crick,8,27,RDE
Tim Crowder,2,22,DE
Tim Crowder,3,24,DE
Tim Crowder,5,25,LDE
Tim Crowder,1,26,DE
Vinny Curry,2,25,DE
Vinny Curry,2,26,DE
Vinny Curry,1,27,DE
Vinny Curry,2,28,DE
Vinny Curry,8,29,LDE
Vinny Curry,3,30,LDE
Vinny Curry,3,31,DE
Vinny Curry,3,32,DE
Vinny Curry,1,34,DE
Mike Daniels,7,25,RDE
Mike Daniels,9,26,RDE
Mike Daniels,7,27,RDE
Mike Daniels,9,28,RDE
Mike Daniels,4,29,RDE
Carl Davis,5,25,RDE
Chauncey Davis,4,22,RDE
Chauncey Davis,6,23,LDE
Chauncey Davis,2,24,DE
Chauncey Davis,3,25,DE
Chauncey Davis,3,26,DE
Chauncey Davis,3,27,DE
Dorsett Davis,1,24,DE
Will Davis,1,23,DE
Will Davis,2,24,DE
Keyunta Dawson,4,22,DE
Keyunta Dawson,2,24,DE
Keyunta Dawson,2,25,DE
Keyunta Dawson,1,28,DE
Brandon Deaderick,3,24,DE
Ryan Denney,1,25,DE
Ryan Denney,7,26,LDE
Ryan Denney,3,27,LDE
Ryan Denney,2,28,DE
Ryan Denney,3,29,DE
Ryan Denney,6,31,RDE
Ryan Denney,2,32,DE
Quinton Dial,6,25,RDE
Quinton Dial,4,26,RDE
Quinton Dial,2,27,DE
Darnell Dockett,13,28,RDE
Darnell Dockett,10,29,RDE
Darnell Dockett,8,30,RDE
Darnell Dockett,8,31,RDE
Darnell Dockett,8,32,RDE
Kevin Dodd,1,24,DE
Kevin Dodd,1,25,DE
Glenn Dorsey,7,24,RDE
Glenn Dorsey,9,25,RDE
Glenn Dorsey,6,26,RDE
Glenn Dorsey,3,30,LDE
