Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Linval Joseph,,,,6.0,7.0,8.0,8.0,6.0,11.0,13.0,9.0,6.0,8.0,4.0,3.0,
William Joseph,,,,,1.0,3.0,5.0,2.0,,1.0,,,,,,
Ethan Kelley,,,,,,2.0,1.0,3.0,,,,,,,,
Jimmy Kennedy,,,,,1.0,2.0,4.0,6.0,,1.0,2.0,1.0,,,,
Dan Klecko,,,2.0,,1.0,1.0,1.0,3.0,,,,,,,,
Karl Klug,,,,3.0,1.0,3.0,2.0,2.0,3.0,1.0,,,,,,
Terrance Knighton,,,,7.0,5.0,6.0,3.0,7.0,7.0,7.0,,,,,,
Markus Kuhn,,,,,,,1.0,,2.0,3.0,,,,,,
Derek Landri,,,,,1.0,1.0,,7.0,2.0,3.0,1.0,,,,,
Trevor Laws,,,,2.0,1.0,2.0,2.0,,,,,,,,,
Sean Lissemore,,,,,,3.0,,4.0,2.0,,,,,,,
Bennie Logan,,,,,5.0,7.0,6.0,6.0,6.0,1.0,,,,,,
Rien Long,,,1.0,2.0,2.0,,,,,,,,,,,
Star Lotulelei,,,,,9.0,6.0,6.0,7.0,6.0,7.0,10.0,,5.0,,,
Sen'Derrick Marks,,,1.0,2.0,5.0,5.0,,7.0,,2.0,,,,,,
Mike Martin,,,2.0,2.0,2.0,,,,,,,,,,,
Ricardo Mathews,,,,,1.0,,2.0,2.0,4.0,,,,,,,
Turk McBride,,,2.0,,2.0,,1.0,,,,,,,,,
Terrell McClain,,,,4.0,,2.0,1.0,,7.0,2.0,2.0,,,,,
Gerald McCoy,,,6.0,,10.0,14.0,9.0,8.0,13.0,9.0,6.0,,,,,
Daniel McCullers,,,1.0,1.0,2.0,,2.0,1.0,,,,,,,,
Clinton McDonald,,,,1.0,2.0,2.0,4.0,6.0,,6.0,3.0,2.0,1.0,,,
Stacy McGee,,,,3.0,1.0,3.0,4.0,,1.0,,,,,,,
Brandon Mebane,,,6.0,7.0,7.0,5.0,8.0,9.0,9.0,4.0,7.0,4.0,7.0,6.0,6.0,
Roy Miller,,,2.0,7.0,2.0,6.0,5.0,6.0,6.0,,,,,,,
Earl Mitchell,,,,1.0,2.0,3.0,6.0,3.0,4.0,2.0,7.0,5.0,,,,
Fili Moala,,,,,1.0,7.0,5.0,,,,,,,,,
Mike Montgomery,,,1.0,1.0,1.0,,1.0,,,,,,,,,
Langston Moore,,,,4.0,1.0,,1.0,1.0,,,,,,,,
Rashad Moore,,,,,4.0,6.0,,1.0,,,,,,,,
Kindal Moorehead,,,,,,1.0,6.0,3.0,1.0,2.0,2.0,,,,,
C.J. Mosley,,,2.0,,2.0,2.0,1.0,,3.0,6.0,2.0,5.0,1.0,,,
Haloti Ngata,,,8.0,,16.0,,,,,11.0,,5.0,5.0,,4.0,
Robert Nkemdiche,,,,1.0,4.0,,,1.0,,,,,,,,
Amobi Okoye,5.0,5.0,7.0,6.0,2.0,1.0,,,,,,,,,,
Stephen Paea,,,,1.0,7.0,3.0,5.0,2.0,1.0,,,,,,,
Mike Patterson,,,5.0,8.0,9.0,9.0,7.0,6.0,7.0,,2.0,4.0,,,,
Domata Peko,,,2.0,7.0,7.0,5.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,6.0,7.0,
Corey Peters,,,7.0,8.0,4.0,6.0,2.0,,6.0,5.0,7.0,6.0,4.0,5.0,,
Kenny Peterson,,,,,,1.0,,2.0,,,1.0,,,,,
Darius Philon,,1.0,2.0,4.0,6.0,,,2.0,,,,,,,,
Dontari Poe,,,6.0,13.0,12.0,7.0,7.0,7.0,6.0,4.0,,,,,,
Monsanto Pope,,,,,2.0,3.0,7.0,,,,,,,,,
Sione Pouha,,,,,,,1.0,,2.0,2.0,10.0,10.0,9.0,5.0,,
B.J. Raji,,,,2.0,9.0,6.0,6.0,,,8.0,,,,,,
Jay Ratliff,,,,,,,6.0,10.0,18.0,8.0,10.0,,,4.0,,
Cory Redding,,,,,,,7.0,6.0,4.0,,,,,,,
Caraun Reid,,,,1.0,5.0,,,1.0,,,,,,,,
Sheldon Richardson,,,,,,,,8.0,9.0,8.0,7.0,4.0,,,,
Dewayne Robertson,,,6.0,9.0,5.0,7.0,7.0,4.0,,,,,,,,
Ahtyba Rubin,,,1.0,3.0,8.0,9.0,6.0,,5.0,8.0,8.0,1.0,,,,
Clifton Ryan,,,,2.0,5.0,6.0,,,,,,,,,,
Darell Scott,,,,3.0,1.0,1.0,,,,,,,,,,
Ian Scott,,,,8.0,7.0,5.0,,,3.0,,,,,,,
Danny Shelton,,,6.0,6.0,5.0,2.0,12.0,4.0,1.0,,,,,,,
Kawann Short,,,,,2.0,5.0,14.0,7.0,7.0,8.0,,,,,,
Junior Siavii,,,,,,,1.0,1.0,,,,1.0,3.0,,,
Pat Sims,,,,4.0,5.0,4.0,2.0,1.0,7.0,2.0,1.0,2.0,4.0,,,
Ryan Sims,,,,7.0,4.0,,1.0,1.0,2.0,6.0,,,,,,
Le Kevin Smith,,,,,,1.0,2.0,2.0,,,,,,,,
Paul Soliai,,,,,,1.0,3.0,7.0,9.0,8.0,7.0,6.0,,1.0,,
Isaac Sopoaga,,,,,2.0,2.0,3.0,6.0,,,8.0,5.0,4.0,,,
Akeem Spence,,,6.0,4.0,3.0,3.0,5.0,6.0,2.0,,,,,,,
Randy Starks,,4.0,6.0,4.0,3.0,4.0,,,,11.0,7.0,6.0,6.0,,,
Shamar Stephen,,,,3.0,,8.0,2.0,7.0,7.0,7.0,1.0,,,,,
Devon Still,,,,1.0,1.0,1.0,,,,,,,,,,
Ndamukong Suh,,,,15.0,6.0,12.0,16.0,18.0,7.0,13.0,7.0,8.0,,,,1.0
Phil Taylor,,,,8.0,4.0,6.0,,,,,,,,,,
Vincent Taylor,,,,1.0,1.0,,2.0,,,,,,,,,
Craig Terrill,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,,
Cam Thomas,,,,,,2.0,2.0,5.0,,2.0,2.0,,,,,
Marcus Thomas,,,3.0,4.0,1.0,2.0,,,,,,,,,,
Brandon Thompson,,,,,5.0,1.0,1.0,,,,,,,,,
Larry Tripplett,,,,4.0,6.0,2.0,4.0,7.0,7.0,,,,,,,
Tank Tyler,,,2.0,6.0,3.0,,,,,,,,,,,
DeAngelo Tyson,,,,1.0,2.0,3.0,,,,,,,,,,
Kevin Vickerson,,,,,,,2.0,,,7.0,5.0,2.0,,,,
Vance Walker,,,1.0,2.0,2.0,5.0,6.0,3.0,4.0,,,,,,,
Gabe Watson,,,,2.0,6.0,1.0,2.0,,,,,,,,,
Vince Wilfork,,,,4.0,7.0,9.0,13.0,8.0,10.0,,13.0,16.0,,8.0,8.0,7.0
Brandon Williams,,,,,,7.0,7.0,8.0,,,,6.0,7.0,,,
Corey Williams,,,,,1.0,1.0,6.0,5.0,,3.0,7.0,6.0,,,,
Dan Williams,,,,2.0,4.0,7.0,5.0,5.0,6.0,4.0,,,,,,
Kevin Williams,,,,,12.0,6.0,18.0,16.0,18.0,15.0,10.0,5.0,7.0,6.0,5.0,4.0
Kyle Williams,,,,6.0,7.0,7.0,7.0,12.0,,8.0,11.0,12.0,,,6.0,12.0
Sylvester Williams,,,,,,3.0,6.0,7.0,7.0,5.0,3.0,,1.0,,,
Billy Winn,,,,6.0,2.0,,2.0,2.0,,,,,,,,
