Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Mike Daniels,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Marcell Dareus,N/A,6,6,10,18,8,3,3,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carl Davis,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A
Tyeler Davison,N/A,N/A,N/A,2,5,7,4,6,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Keyunta Dawson,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Deaderick,N/A,N/A,N/A,2,N/A,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quinton Dial,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darnell Dockett,N/A,N/A,N/A,9,7,6,10,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glenn Dorsey,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,7,N/A,N/A,3,N/A,N/A,N/A,N/A
Dusty Dvoracek,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominique Easley,N/A,N/A,2,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Eason,N/A,N/A,N/A,N/A,N/A,1,2,2,2,N/A,N/A,3,2,N/A,N/A,N/A
Dwan Edwards,N/A,N/A,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A,6,3,2,1,N/A
Justin Ellis,N/A,N/A,N/A,N/A,6,4,3,6,N/A,N/A,2,3,N/A,N/A,N/A,N/A
Kenrick Ellis,N/A,N/A,N/A,N/A,N/A,3,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sedrick Ellis,N/A,N/A,N/A,6,5,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IK Enemkpali,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fred Evans,N/A,N/A,N/A,N/A,1,2,1,1,1,2,2,N/A,N/A,N/A,N/A,N/A
Nick Fairley,N/A,N/A,N/A,1,4,8,4,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ego Ferguson,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ronald Fields,N/A,N/A,N/A,N/A,N/A,3,2,1,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Sharrif Floyd,N/A,1,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andre Fluellen,N/A,N/A,N/A,1,2,1,1,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A
Aubrayo Franklin,N/A,N/A,N/A,N/A,N/A,2,2,6,7,9,8,4,4,6,N/A,N/A
Sione Fua,N/A,N/A,N/A,3,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Garay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,5,N/A,N/A,N/A
Ryan Glasgow,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kedric Golston,N/A,N/A,N/A,5,2,7,3,N/A,1,1,N/A,1,1,N/A,N/A,N/A
Amon Gordon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
Howard Green,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,1,2,2,N/A,N/A,N/A,N/A
Letroy Guion,N/A,N/A,N/A,2,2,6,5,7,3,6,N/A,N/A,N/A,N/A,N/A,N/A
Rodney Gunter,N/A,N/A,N/A,5,2,2,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ra'Shede Hageman,N/A,N/A,N/A,N/A,1,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P.J. Hall,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Hargrove,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alan Harper,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Orien Harris,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tommie Harris,N/A,9,16,10,10,7,6,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus Harrison,N/A,N/A,N/A,N/A,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Hatcher,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
