Player,AV,Age,Pos,-9999
A.J. Derby,2,26,TE,DerbA.00
Seth Devalve,1,23,TE,DevaSe00
Seth Devalve,3,24,TE,DevaSe00
Seth Devalve,1,25,TE,DevaSe00
Seth Devalve,1,26,TE,DevaSe00
Dorin Dickerson,1,24,TE,DickDo00
Ed Dickson,1,23,TE,DickEd00
Ed Dickson,5,24,TE,DickEd00
Ed Dickson,2,25,TE,DickEd00
Ed Dickson,2,26,TE,DickEd00
Ed Dickson,1,27,TE,DickEd00
Ed Dickson,1,28,TE,DickEd00
Ed Dickson,1,29,TE,DickEd00
Ed Dickson,4,30,TE,DickEd00
Ed Dickson,1,31,TE,DickEd00
Jim Dray,2,27,TE,DrayJi00
Jim Dray,1,28,TE,DrayJi00
Joel Dreessen,1,25,TE,DreeJo00
Joel Dreessen,1,26,TE,DreeJo00
Joel Dreessen,3,27,TE,DreeJo00
Joel Dreessen,6,28,TE,DreeJo00
Joel Dreessen,3,29,TE,DreeJo00
Joel Dreessen,3,30,TE,DreeJo00
Jeff Dugan,1,26,TE,DugaJe00
Jeff Dugan,1,28,TE,DugaJe00
Eric Ebron,2,21,TE,EbroEr00
Eric Ebron,4,22,TE,EbroEr00
Eric Ebron,6,23,TE,EbroEr00
Eric Ebron,5,24,TE,EbroEr00
Eric Ebron,7,25,TE,EbroEr00
Eric Ebron,3,26,TE,EbroEr00
Eric Ebron,5,27,TE,EbroEr00
Eric Ebron,1,28,TE,EbroEr00
Tyler Eifert,4,23,TE,EifeTy00
Tyler Eifert,6,25,TE,EifeTy00
Tyler Eifert,3,26,TE,EifeTy00
Tyler Eifert,3,29,TE,EifeTy00
Tyler Eifert,3,30,TE,EifeTy00
Rhett Ellison,2,26,TE,ElliRh00
Rhett Ellison,1,27,TE,ElliRh00
Rhett Ellison,2,29,TE,ElliRh00
Rhett Ellison,2,30,TE,ElliRh00
Gavin Escobar,1,22,TE,EscoGa00
Gavin Escobar,1,23,TE,EscoGa00
Tim Euhus,1,24,TE,EuhuTi00
Anthony Fasano,1,22,TE,FasaAn00
Anthony Fasano,2,23,TE,FasaAn00
Anthony Fasano,4,24,TE,FasaAn00
Anthony Fasano,3,25,TE,FasaAn00
Anthony Fasano,3,26,TE,FasaAn00
Anthony Fasano,4,27,TE,FasaAn00
Anthony Fasano,3,28,TE,FasaAn00
Anthony Fasano,2,29,TE,FasaAn00
Player,AV,Age,Pos,-9999
Anthony Fasano,2,30,TE,FasaAn00
Anthony Fasano,2,31,TE,FasaAn00
Anthony Fasano,1,32,TE,FasaAn00
Anthony Fasano,1,33,TE,FasaAn00
C.J. Fiedorowicz,1,24,TE,FiedC.00
C.J. Fiedorowicz,4,25,TE,FiedC.00
Derek Fine,1,25,TE,FineDe00
Derek Fine,1,26,TE,FineDe00
Jermichael Finley,1,21,TE,FinlJe00
Jermichael Finley,7,22,TE,FinlJe00
Jermichael Finley,9,24,TE,FinlJe00
Jermichael Finley,6,25,TE,FinlJe00
Coby Fleener,2,24,TE,FleeCo00
Coby Fleener,6,25,TE,FleeCo00
Coby Fleener,7,26,TE,FleeCo00
Coby Fleener,4,27,TE,FleeCo00
Coby Fleener,6,28,TE,FleeCo00
Coby Fleener,3,29,TE,FleeCo00
