Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Bear Pascoe,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
Ben Patrick,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
Justin Peelle,,,,,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,
Brandon Pettigrew,,,,,2.0,6.0,7.0,4.0,3.0,1.0,1.0,,,,,,,,,
Dennis Pitta,,,,,,,4.0,6.0,,,,5.0,,,,,,,,
Leonard Pope,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Jeb Putzier,,,,,,5.0,6.0,1.0,,,,,,,,,,,,
Andrew Quarless,,,2.0,,,3.0,4.0,,,,,,,,,,,,,
Jordan Reed,,,,3.0,3.0,8.0,6.0,,4.0,,2.0,,,,,,,,,
Mychal Rivera,,,,3.0,4.0,2.0,2.0,,,,,,,,,,,,,
Richard Rodgers,,,3.0,5.0,3.0,1.0,,,3.0,,,,,,,,,,,
Dante Rosario,,,,1.0,2.0,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,
Robert Royal,,,,,,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,
Kyle Rudolph,,,2.0,6.0,3.0,2.0,5.0,7.0,5.0,5.0,4.0,3.0,2.0,,,,,,,
Bo Scaife,,,,,2.0,4.0,4.0,5.0,4.0,3.0,,,,,,,,,,
Tony Scheffler,,,,3.0,5.0,6.0,3.0,3.0,3.0,4.0,,,,,,,,,,
Matt Schobel,,,,,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,
Austin Seferian-Jenkins,,,2.0,,1.0,3.0,,,,,,,,,,,,,,
Adam Shaheen,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
Visanthe Shiancoe,,,,,,1.0,1.0,3.0,6.0,6.0,4.0,4.0,,,,,,,,
Jeremy Shockey,,,8.0,3.0,6.0,10.0,7.0,6.0,5.0,6.0,4.0,4.0,,,,,,,,
Dion Sims,,,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,
Alex Smith,,,,3.0,2.0,4.0,2.0,,,1.0,,,,,,,,,,
L.J. Smith,,,,4.0,4.0,5.0,5.0,2.0,3.0,,,,,,,,,,,
Lee Smith,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,
Craig Stevens,,,,,,,1.0,1.0,2.0,,,1.0,,,,,,,,
Jerramy Stevens,,,,2.0,1.0,3.0,6.0,2.0,2.0,3.0,1.0,,,,,,,,,
Luke Stocker,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,
Jacob Tamme,,,,,,6.0,1.0,5.0,2.0,1.0,6.0,2.0,,,,,,,,
David Thomas,,,,2.0,,1.0,4.0,2.0,,1.0,,,,,,,,,,
Julius Thomas,,,,,,8.0,5.0,4.0,2.0,3.0,,,,,,,,,,
Levine Toilolo,,,,2.0,,3.0,1.0,2.0,,,,,,,,,,,,
Ben Troupe,,,3.0,4.0,1.0,,,,,,,,,,,,,,,
Clive Walford,,,,,3.0,3.0,1.0,,,,,,,,,,,,,
Aaron Walker,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
Delanie Walker,,,,1.0,,,3.0,,,5.0,6.0,8.0,7.0,7.0,,,,,,
Ben Watson,,,,,,4.0,7.0,5.0,2.0,4.0,5.0,2.0,3.0,2.0,1.0,7.0,,5.0,4.0,1.0
D.J. Williams,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
Maxx Williams,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
Luke Willson,,,,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Kellen Winslow,,,,6.0,11.0,3.0,6.0,7.0,6.0,,3.0,,,,,,,,,
Jason Witten,,2.0,8.0,7.0,8.0,12.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,4.0,7.0,6.0,,4.0,1.0,
George Wrighster,,,1.0,,1.0,4.0,2.0,,,,,,,,,,,,,
