Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Joel Dreessen,N/A,N/A,N/A,N/A,N/A,1,1,3,6,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Dugan,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Ebron,N/A,2,4,6,5,7,3,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Eifert,N/A,N/A,N/A,4,N/A,6,3,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhett Ellison,N/A,N/A,N/A,N/A,N/A,N/A,2,1,N/A,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gavin Escobar,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Euhus,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Fasano,N/A,N/A,1,2,4,3,3,4,3,2,2,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A
C.J. Fiedorowicz,N/A,N/A,N/A,N/A,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek Fine,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jermichael Finley,N/A,1,7,N/A,9,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coby Fleener,N/A,N/A,N/A,N/A,2,6,7,4,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bryan Fletcher,N/A,N/A,N/A,N/A,N/A,N/A,3,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Gaines,N/A,N/A,N/A,N/A,N/A,2,1,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crockett Gillmore,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Gilmore,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Gragg,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel Graham,N/A,N/A,N/A,N/A,1,4,4,2,3,2,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Garrett Graham,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T.J. Graham,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ladarius Green,N/A,N/A,N/A,N/A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virgil Green,N/A,N/A,N/A,N/A,1,N/A,1,1,2,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jermaine Gresham,N/A,N/A,4,5,7,4,4,2,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Griffin,N/A,N/A,N/A,1,1,2,3,N/A,3,2,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Gronkowski,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rob Gronkowski,N/A,7,14,9,N/A,13,12,5,13,6,N/A,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Hanna,N/A,N/A,N/A,1,1,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Hannam,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clay Harbor,N/A,N/A,N/A,1,1,1,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clark Harris,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A
Ben Hartsock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aaron Hernandez,N/A,7,10,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Herndon,N/A,N/A,4,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Heuerman,N/A,N/A,N/A,N/A,1,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gerald Hodges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Hoomanawanui,N/A,N/A,1,N/A,1,1,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rob Housler,N/A,N/A,N/A,1,3,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
O.J. Howard,N/A,N/A,N/A,3,4,4,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Izzo,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jesse James,N/A,N/A,3,4,3,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Johnson,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Teyo Johnson,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doug Jolley,N/A,N/A,N/A,4,2,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terry Jones,N/A,N/A,N/A,1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dustin Keller,N/A,N/A,N/A,N/A,6,5,5,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lance Kendricks,N/A,N/A,N/A,N/A,4,N/A,2,2,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff King,N/A,N/A,N/A,N/A,3,2,2,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Klopfenstein,N/A,N/A,N/A,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Koyack,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donald Lee,N/A,N/A,N/A,1,1,2,1,6,3,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan Leggett,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erik Lorig,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rishard Matthews,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony McCoy,N/A,N/A,N/A,N/A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
