Player,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Dustin Colquitt,,39.4,44.3,45.5,44.4,45.4,44.4,45.9,46.8,46.0,44.6,44.4,45.1,45.2,44.9,44.3,,44.5,
Lac Edwards,,,43.1,46.6,45.9,45.9,,47.9,,,,,,,,,,,
Brandon Fields,,43.2,43.9,46.3,46.2,48.8,50.2,48.8,46.3,,,,,,,,,,
Reggie Hodges,,37.4,,,42.8,39.7,43.9,,41.8,,,,,,,,,,
Kevin Huber,,,43.2,42.1,44.2,46.6,45.2,46.8,45.8,46.3,46.6,43.9,45.3,47.2,46.4,43.2,,,
Donnie Jones,,,,43.5,42.8,47.2,50.0,46.8,45.5,44.3,47.2,44.9,43.8,47.0,45.8,45.3,42.3,,
Sam Koch,,,43.0,43.6,45.0,43.7,43.6,46.5,47.1,46.0,47.4,46.7,45.8,44.8,47.4,46.4,44.5,44.4,
Andy Lee,41.6,41.6,44.8,47.3,47.8,47.6,46.2,50.9,48.1,48.2,46.8,46.7,49.1,47.3,48.6,47.8,44.8,49.0,47.1
Jeff Locke,,,44.2,44.2,41.6,42.6,,,,,,,,,,,,,
Zoltan Mesko,,,43.2,46.5,43.1,,,,,,,,,,,,,,
Brad Nortman,,43.0,47.8,44.9,45.4,46.6,44.1,,,,,,,,,,,,
Pat O'Donnell,,43.8,44.2,44.0,47.0,45.0,44.8,45.7,46.2,44.5,,,,,,,,,
Ryan Plackemeier,45.0,40.0,41.5,,,,,,,,,,,,,,,,
Adam Podlesh,,,41.6,43.2,41.9,43.8,43.9,42.0,40.6,,,,,,,,,,
Mike Scifres,,,43.1,43.7,41.9,46.1,45.7,45.0,46.7,47.5,48.3,43.2,45.7,45.3,,,,,
Daniel Sepulveda,,42.4,,42.7,45.5,46.1,,,,,,,,,,,,,
Dave Zastudil,,,41.6,41.0,40.4,43.5,44.0,41.8,45.5,44.7,,45.2,46.5,45.7,,,,,
