Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Chris Cook,N/A,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marcus Cooper,N/A,N/A,N/A,2,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reggie Corner,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek Cox,N/A,N/A,6,4,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perrish Cox,N/A,N/A,3,N/A,N/A,N/A,7,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Cromartie,N/A,N/A,16,6,7,6,7,11,9,9,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Culliver,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Travis Daniels,N/A,N/A,6,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason David,N/A,4,7,6,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sammy Davis,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vontae Davis,4,5,6,4,6,11,10,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alfonzo Dennard,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darqueze Dennard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pierre Desir,N/A,N/A,N/A,N/A,2,N/A,2,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Demarcus Faggins,N/A,N/A,N/A,N/A,N/A,3,4,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cortland Finnegan,N/A,N/A,6,20,5,6,8,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Travis Fisher,N/A,N/A,5,7,4,2,3,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bradley Fletcher,N/A,N/A,N/A,8,N/A,N/A,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drayton Florence,N/A,N/A,N/A,3,4,6,4,4,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Flowers,N/A,4,7,7,7,6,7,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Domonique Foxworth,N/A,4,N/A,N/A,4,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Fuller,N/A,5,6,N/A,7,16,10,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E.J. Gaines,N/A,6,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phillip Gaines,N/A,N/A,2,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Gamble,6,10,6,5,8,7,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Gay,N/A,N/A,N/A,6,N/A,8,7,5,5,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Gladney,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andre' Goodman,N/A,N/A,N/A,3,N/A,N/A,4,5,N/A,7,7,2,7,N/A,N/A,N/A,N/A,N/A
Corey Graham,N/A,N/A,5,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwayne Gratz,N/A,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Green,N/A,N/A,3,3,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonte Green,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cedric Griffin,N/A,N/A,N/A,4,6,5,6,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeJuan Groce,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Haden,5,7,5,12,11,N/A,5,4,6,11,6,4,N/A,N/A,N/A,N/A,N/A,N/A
Nate Hairston,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DeAngelo Hall,3,10,12,7,3,5,11,6,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leon Hall,N/A,N/A,4,8,15,7,5,7,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harrison Hand,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vernon Hargreaves III,5,2,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Davontae Harris,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Harris,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D.J. Hayden,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelvin Hayden,N/A,N/A,N/A,8,5,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Casey Hayward,N/A,N/A,4,N/A,N/A,N/A,12,13,5,6,4,5,N/A,N/A,N/A,N/A,N/A,N/A
K.J. Hill,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reynaldo Hill,N/A,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tye Hill,N/A,N/A,N/A,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ellis Hobbs,N/A,4,7,7,9,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daven Holly,N/A,N/A,N/A,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jayron Hosley,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Davon House,N/A,N/A,N/A,N/A,N/A,6,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
