Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Jon McGraw,,,,,,,,,,4.0,3.0,4.0,,,,
Brandon Meriweather,,,,6.0,10.0,6.0,,,4.0,4.0,4.0,,,,,
Mike Mitchell,,,,,,7.0,5.0,7.0,7.0,4.0,,,,,,
Rahim Moore,3.0,6.0,4.0,6.0,,,,,,,,,,,,
William Moore,,,,,7.0,5.0,9.0,6.0,,4.0,,,,,,
Nedu Ndukwe,,,5.0,6.0,3.0,,,,,,,,,,,
Reggie Nelson,,,,7.0,5.0,5.0,3.0,8.0,7.0,7.0,7.0,13.0,9.0,6.0,3.0,
Montae Nicholson,,2.0,3.0,5.0,,,,,,,,,,,,
Jermaine Phillips,,,,4.0,4.0,5.0,6.0,8.0,6.0,,,,,,,
Sabby Piscitelli,,,,,3.0,6.0,3.0,3.0,,,,,,,,
Troy Polamalu,,,13.0,14.0,9.0,10.0,17.0,,16.0,17.0,,9.0,4.0,,,
Bernard Pollard,,,6.0,5.0,6.0,4.0,5.0,5.0,6.0,,,,,,,
Ryan Pontbriand,,,,2.0,2.0,1.0,2.0,5.0,4.0,2.0,2.0,1.0,,,,
Brodney Pool,,4.0,6.0,6.0,5.0,5.0,3.0,,,,,,,,,
Calvin Pryor,,4.0,5.0,5.0,,,,,,,,,,,,
Glover Quin,,,,,6.0,7.0,7.0,11.0,6.0,6.0,5.0,6.0,,,,
Ed Reed,,,,7.0,11.0,15.0,6.0,14.0,14.0,17.0,10.0,11.0,11.0,11.0,4.0,
Eric Reid,,8.0,7.0,5.0,4.0,5.0,4.0,5.0,,,,,,,,
Kerry Rhodes,,,5.0,12.0,8.0,7.0,8.0,7.0,,7.0,,,,,,
Antrel Rolle,,,,,,5.0,9.0,10.0,5.0,6.0,13.0,6.0,,,,
Logan Ryan,,,,,,,,,6.0,5.0,3.0,,,,,
James Sanders,,,4.0,5.0,6.0,3.0,4.0,3.0,,,,,,,,
Jamarca Sanford,,,,,,4.0,4.0,4.0,,,,,,,,
Stuart Schweigert,,,,5.0,5.0,5.0,,,,,,,,,,
Bryan Scott,,3.0,5.0,5.0,,,3.0,,,,,,,,,
Da'Norris Searcy,,,,,4.0,6.0,5.0,5.0,3.0,,,,,,,
Gerald Sensabaugh,,,4.0,,5.0,7.0,5.0,6.0,5.0,,,,,,,
Jaquiski Tartt,,,3.0,3.0,3.0,3.0,4.0,,5.0,,,,,,,
Sean Taylor,8.0,8.0,8.0,10.0,,,,,,,,,,,,
Earl Thomas,7.0,12.0,15.0,16.0,14.0,10.0,5.0,9.0,,8.0,,,,,,
Lamont Thompson,,,,,,5.0,5.0,6.0,,,,,,,,
Kenny Vaccaro,,6.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,,,,,,,
T.J. Ward,,,,6.0,4.0,6.0,11.0,7.0,5.0,6.0,,,,,,
Eric Weddle,,,7.0,6.0,12.0,13.0,12.0,10.0,13.0,5.0,10.0,10.0,9.0,7.0,,
Donte Whitner,6.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,9.0,4.0,3.0,,,,,
Madieu Williams,,,7.0,,6.0,5.0,3.0,5.0,5.0,,5.0,,,,,
Roy Williams,,10.0,15.0,8.0,11.0,9.0,7.0,,,5.0,,,,,,
Shawn Williams,,,,,6.0,5.0,5.0,5.0,,,,,,,,
Tank Williams,,6.0,6.0,3.0,5.0,,,,,,,,,,,
Khari Willis,,,3.0,5.0,4.0,,,,,,,,,,,
Eugene Wilson,,,6.0,6.0,6.0,,3.0,4.0,3.0,4.0,,,,,,
Gibril Wilson,,,4.0,7.0,6.0,6.0,6.0,5.0,,,,,,,,
Major Wright,,,5.0,7.0,5.0,2.0,,,,,,,,,,
