Matt Leinart,N/A,N/A,1,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jake Locker,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J.P. Losman,4,10,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Luck,15,16,N/A,16,N/A,13,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan Mallett,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eli Manning,15,12,10,12,N/A,-1,13,12,7,15,16,13,14,7,12,N/A,N/A,9,N/A
EJ Manuel,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Johnny Manziel,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh McCown,3,7,5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,8,5,N/A,9,N/A,4,N/A
Luke McCown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,1,N/A,N/A,N/A,N/A,N/A,N/A
Cam Newton,16,12,21,11,19,16,15,14,3,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J.T. O'Sullivan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Orlovsky,N/A,4,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Orton,N/A,N/A,9,10,N/A,2,11,2,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brock Osweiler,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Curtis Painter,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carson Palmer,N/A,8,16,14,N/A,N/A,14,N/A,8,10,11,10,11,16,12,N/A,N/A,N/A,N/A
Christian Ponder,11,6,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrelle Pryor,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brady Quinn,N/A,2,N/A,N/A,N/A,N/A,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick Ramsey,7,2,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Philip Rivers,N/A,18,13,17,N/A,N/A,19,17,16,17,10,13,12,13,14,13,N/A,13,13
Ben Roethlisberger,11,14,11,14,12,11,12,12,16,10,13,12,12,14,N/A,10,N/A,14,9
JaMarcus Russell,-2,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Sanchez,9,8,5,N/A,N/A,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Savage,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Schaub,2,1,8,10,N/A,N/A,15,17,3,8,11,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Simms,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Skelton,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alex Smith,N/A,7,6,13,10,N/A,7,14,12,14,16,17,6,1,N/A,N/A,-3,N/A,N/A
Brad Smith,N/A,N/A,N/A,N/A,N/A,1,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Drew Stanton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Tebow,8,1,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Thigpen,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seneca Wallace,N/A,N/A,3,1,N/A,N/A,5,2,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Walter,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Webb,N/A,2,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Weeden,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vince Young,9,N/A,8,6,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
