Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Mike McGlynn,,,,,,,,7.0,8.0,6.0,1.0,,,,,,
Paul McQuistan,,,,2.0,,,,,4.0,8.0,8.0,,,,,,
Terrence Metcalf,,,,,,1.0,2.0,4.0,1.0,3.0,,,,,,,
Jack Mewhort,,,,8.0,7.0,6.0,,,,,,,,,,,
John Miller,,,5.0,9.0,,5.0,5.0,6.0,3.0,,,,,,,,
Carl Nicks,,,,9.0,10.0,13.0,20.0,,,,,,,,,,
Uche Nwaneri,,,,2.0,8.0,6.0,9.0,5.0,6.0,6.0,,,,,,,
Quinn Ojinnaka,,,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,
Kelechi Osemele,,,,,,8.0,6.0,13.0,10.0,4.0,,,,,,,
Michael Person,,,,,,,1.0,,,2.0,7.0,8.0,,,,,
Stephen Peterman,,,,,,6.0,5.0,3.0,7.0,9.0,7.0,,,,,,
Chester Pitts,,,,,,7.0,,7.0,9.0,8.0,,,,,,,
Mike Pollak,,,,8.0,5.0,7.0,3.0,,3.0,3.0,,,,,,,
Mike Pucillo,,,,,4.0,,3.0,1.0,1.0,,,,,,,,
Justin Pugh,,,,,,7.0,4.0,,,8.0,8.0,7.0,,,,,
Chilo Rachal,,,3.0,6.0,6.0,3.0,4.0,,,,,,,,,,
Rodger Saffold,,,,,,5.0,7.0,,5.0,12.0,11.0,8.0,10.0,9.0,11.0,,
Chris Scott,,,,,,,4.0,1.0,1.0,3.0,,,,,,,
Jake Scott,,,,7.0,10.0,11.0,10.0,7.0,7.0,8.0,7.0,,,,,,
Kendall Simmons,,,,6.0,6.0,,9.0,7.0,8.0,,,,,,,,
Rob Sims,,,,2.0,8.0,,6.0,7.0,9.0,7.0,8.0,7.0,,,,,
Josh Sitton,,,2.0,11.0,9.0,11.0,12.0,14.0,15.0,12.0,7.0,5.0,,,,,
Justin Smiley,,,,3.0,5.0,7.0,3.0,7.0,6.0,,,,,,,,
Shelley Smith,,,,,,3.0,2.0,2.0,,,,,,,,,
Wade Smith,,,,,,,,3.0,4.0,10.0,8.0,9.0,6.0,,,,
Chris Snee,,,5.0,9.0,8.0,8.0,15.0,11.0,13.0,8.0,12.0,,,,,,
Adam Snyder,,,,,3.0,,6.0,,2.0,7.0,4.0,3.0,,,,,
Jason Spitz,,,,,5.0,7.0,9.0,,2.0,,,,,,,,
Eric Steinbach,,,,8.0,7.0,10.0,8.0,8.0,5.0,5.0,6.0,,,,,,
Zach Strief,,,,1.0,2.0,2.0,3.0,2.0,,,,,,,,,
Xavier Su'a-Filo,,,,1.0,4.0,6.0,7.0,3.0,3.0,,,,,,,,
J.R. Sweezy,,,,,8.0,9.0,8.0,,7.0,8.0,8.0,5.0,,,,,
Hugh Thornton,,,7.0,5.0,5.0,,,,,,,,,,,,
Kraig Urbik,,,,,,1.0,6.0,6.0,7.0,4.0,3.0,,,,,,
Louis Vasquez,,,9.0,6.0,8.0,7.0,20.0,9.0,7.0,,,,,,,,
Larry Warford,,,8.0,6.0,6.0,8.0,10.0,12.0,10.0,,,,,,,,
Chance Warmack,,,8.0,6.0,6.0,,2.0,1.0,,,,,,,,,
Earl Watford,,,,,1.0,2.0,5.0,4.0,1.0,3.0,,,,,,,
Reggie Wells,,,,,6.0,4.0,8.0,8.0,9.0,8.0,1.0,,,,,,
Travelle Wharton,,,,6.0,,,,7.0,7.0,3.0,9.0,,6.0,,,,
Brian Winters,,,4.0,,5.0,5.0,5.0,6.0,3.0,5.0,,,,,,,
Stefen Wisniewski,,,8.0,,,,,4.0,6.0,4.0,,,,,,,
Marshal Yanda,,,,,,5.0,,11.0,10.0,8.0,17.0,12.0,9.0,,13.0,15.0,
