Player,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Brandon Gibson,,2.0,5.0,2.0,5.0,,3.0,,,,,,,,,,
Ted Ginn Jr.,,4.0,8.0,6.0,2.0,5.0,,6.0,2.0,9.0,7.0,9.0,,4.0,,,
Chris Givens,,,5.0,5.0,1.0,2.0,,,,,,,,,,,
David Givens,,1.0,4.0,10.0,7.0,,,,,,,,,,,,
Kenny Golladay,,,,4.0,8.0,9.0,,4.0,1.0,,,,,,,,
Josh Gordon,6.0,10.0,,,,,7.0,3.0,,,,,,,,,
Ryan Grant,,,,,2.0,1.0,4.0,3.0,,,,,,,,,
A.J. Green,,,10.0,13.0,13.0,9.0,13.0,7.0,10.0,6.0,,4.0,8.0,2.0,,,
D.J. Hackett,,,,5.0,5.0,,2.0,,,,,,,,,,
Derek Hagan,,2.0,3.0,,1.0,,2.0,2.0,,2.0,,,,,,,
DaeSean Hamilton,,,2.0,2.0,2.0,,,,,,,,,,,,
Leonard Hankerson,,,6.0,2.0,,3.0,,,,,,,,,,,
Justin Hardy,,,,2.0,2.0,2.0,1.0,2.0,,,,,,,,,
Dwayne Harris,,,,,3.0,2.0,1.0,6.0,,,1.0,,,,,,
Brian Hartline,,,5.0,4.0,5.0,8.0,7.0,4.0,3.0,,,,,,,,
Percy Harvin,11.0,9.0,12.0,9.0,,5.0,,,,,,,,,,,
Lavelle Hawkins,,1.0,1.0,,4.0,,,,,,,,,,,,
Devery Henderson,,,2.0,7.0,4.0,8.0,8.0,4.0,5.0,3.0,,,,,,,
Chris Henry,,5.0,6.0,3.0,1.0,2.0,,,,,,,,,,,
Devin Hester,,,,,,6.0,6.0,8.0,6.0,2.0,,,,,,,
Darrius Heyward-Bey,,1.0,4.0,8.0,5.0,3.0,,3.0,1.0,1.0,,,,,,,
Johnnie Lee Higgins,,,,,6.0,2.0,1.0,,,,,,,,,,
Rashard Higgins,,,2.0,4.0,,6.0,2.0,,,,,,,,,,
Jason Hill,,,3.0,1.0,3.0,3.0,,,,,,,,,,,
T.Y. Hilton,,,8.0,10.0,12.0,8.0,14.0,8.0,12.0,4.0,7.0,3.0,,,,,
Domenik Hixon,,,1.0,7.0,3.0,,,6.0,1.0,,,,,,,,
Santonio Holmes,,8.0,11.0,7.0,11.0,6.0,5.0,,3.0,1.0,,,,,,,
Josh Huff,,,2.0,2.0,2.0,,,,,,,,,,,,
Justin Hunter,,3.0,3.0,2.0,2.0,,,,,,,,,,,,
DeSean Jackson,,9.0,14.0,11.0,8.0,5.0,11.0,8.0,4.0,8.0,5.0,6.0,,,4.0,,
Vincent Jackson,,1.0,7.0,7.0,13.0,14.0,,12.0,13.0,10.0,7.0,5.0,,,,,
Alshon Jeffery,,3.0,14.0,9.0,6.0,5.0,7.0,6.0,4.0,,,,,,,,
Michael Jenkins,,1.0,6.0,4.0,4.0,9.0,7.0,6.0,4.0,5.0,,,,,,,
Greg Jennings,,,5.0,9.0,12.0,11.0,11.0,12.0,3.0,8.0,6.0,1.0,,,,,
Andre Johnson,,9.0,10.0,7.0,11.0,8.0,14.0,14.0,13.0,,13.0,8.0,8.0,4.0,1.0,,
Bethel Johnson,,,,3.0,3.0,1.0,1.0,,,,,,,,,,
Bryant Johnson,,3.0,4.0,3.0,6.0,4.0,5.0,3.0,2.0,1.0,,,,,,,
Calvin Johnson,,6.0,11.0,7.0,10.0,15.0,14.0,12.0,9.0,10.0,,,,,,,
Charles Johnson,,,,,4.0,1.0,2.0,,,,,,,,,,
Steve Johnson,,1.0,,8.0,8.0,9.0,5.0,3.0,3.0,,,,,,,,
Brandon Jones,,,2.0,4.0,2.0,4.0,,,,,,,,,,,
Jacoby Jones,,,1.0,3.0,5.0,6.0,6.0,7.0,4.0,2.0,,,,,,,
James Jones,,,7.0,3.0,5.0,6.0,8.0,7.0,7.0,4.0,8.0,,,,,,
Julio Jones,,10.0,13.0,,14.0,16.0,16.0,14.0,14.0,11.0,6.0,4.0,2.0,,,,
Matt Jones,,5.0,7.0,4.0,7.0,,,,,,,,,,,,
T.J. Jones,,,1.0,,4.0,1.0,,,,,,,,,,,
Jeremy Kerley,,,3.0,7.0,4.0,4.0,1.0,5.0,2.0,,,,,,,,
Johnny Knox,,,6.0,9.0,6.0,,,,,,,,,,,,
Brandon LaFell,,,,3.0,6.0,6.0,7.0,11.0,5.0,6.0,5.0,,,,,,
Jarvis Landry,,7.0,9.0,10.0,7.0,8.0,10.0,9.0,5.0,2.0,,,,,,,
Cody Latimer,,,,1.0,2.0,,2.0,,,,,,,,,,
Marqise Lee,,,3.0,2.0,7.0,6.0,,,,,,,,,,,
Ashley Lelie,,5.0,7.0,10.0,10.0,4.0,1.0,2.0,,,,,,,,,
Greg Little,,4.0,5.0,3.0,,,,,,,,,,,,,
Brandon Lloyd,,2.0,4.0,6.0,3.0,,3.0,,12.0,5.0,10.0,,2.0,,,,
Jeremy Maclin,7.0,9.0,7.0,6.0,,9.0,11.0,5.0,4.0,,,,,,,,
Mario Manningham,,,7.0,8.0,4.0,4.0,,,,,,,,,,,
Marc Mariani,,,2.0,1.0,,,,2.0,,,,,,,,,
Brandon Marshall,,3.0,12.0,11.0,9.0,6.0,10.0,14.0,12.0,6.0,13.0,5.0,,,,,
Keshawn Martin,,1.0,2.0,1.0,3.0,,,,,,,,,,,,
Mohamed Massaquoi,,,5.0,3.0,2.0,2.0,,,,,,,,,,,
Jordan Matthews,,6.0,7.0,7.0,3.0,2.0,,,,,,,,,,,
Rishard Matthews,,,1.0,,1.0,4.0,8.0,7.0,,,,,,,,,
Dexter McCluster,4.0,4.0,,7.0,2.0,3.0,,,,,,,,,,,
Shaun McDonald,,1.0,3.0,4.0,1.0,8.0,3.0,,,,,,,,,,
Robert Meachem,,,,3.0,8.0,6.0,6.0,2.0,3.0,1.0,,,,,,,
Anthony Miller,,,,4.0,5.0,4.0,,,,,,,,,,,
Donte Moncrief,4.0,6.0,3.0,3.0,4.0,,,,,,,,,,,,
Denarius Moore,,,5.0,5.0,5.0,1.0,,,,,,,,,,,
Josh Morgan,,,3.0,5.0,5.0,,6.0,1.0,1.0,,,,,,,,
Louis Murphy,,4.0,6.0,2.0,3.0,,3.0,,,,,,,,,,
Legedu Naanee,,,,1.0,1.0,3.0,4.0,5.0,,,,,,,,,
JJ Nelson,,,3.0,5.0,4.0,,,,,,,,,,,,
Jordy Nelson,,,3.0,3.0,5.0,15.0,7.0,11.0,19.0,,12.0,4.0,6.0,,,,
Hakeem Nicks,7.0,9.0,10.0,8.0,6.0,4.0,,,,,,,,,,,
Ben Obomanu,,,,1.0,,,4.0,4.0,1.0,,,,,,,,
Samie Parker,,,,5.0,6.0,2.0,,,,,,,,,,,
Roscoe Parrish,,,1.0,4.0,4.0,3.0,,3.0,,,,,,,,,
Breshad Perriman,,,3.0,1.0,2.0,5.0,4.0,,1.0,,,,,,,,
Austin Pettis,,,1.0,2.0,4.0,,,,,,,,,,,,
Terrelle Pryor,,,,,,,6.0,2.0,2.0,,,,,,,,
Brian Quick,,,1.0,3.0,,1.0,3.0,1.0,,,,,,,,,
Antwaan Randle El,,,7.0,6.0,7.0,9.0,5.0,6.0,5.0,4.0,2.0,,,,,,
Rueben Randle,3.0,4.0,8.0,7.0,,,,,,,,,,,,,
Josh Reed,,5.0,5.0,2.0,4.0,4.0,4.0,5.0,2.0,,,,,,,,
Sidney Rice,4.0,1.0,14.0,,4.0,9.0,2.0,,,,,,,,,,
Paul Richardson,,3.0,,2.0,6.0,,2.0,,,,,,,,,,
Andre Roberts,,2.0,4.0,5.0,4.0,3.0,2.0,4.0,,3.0,,,1.0,,,,
Aldrick Robinson,,,,3.0,2.0,,,4.0,2.0,2.0,,,,,,,
Laurent Robinson,,3.0,,,3.0,7.0,,,,,,,,,,,
Michael Robinson,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,
John Ross,,,2.0,3.0,,2.0,,,,,,,,,,,
