Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Levi Jones,,,,6.0,9.0,7.0,9.0,,7.0,3.0,4.0,,,,,,,,,,
Nick Kaczur,,,,,,,7.0,6.0,10.0,9.0,8.0,,,,,,,,,,
Matt Kalil,,,,9.0,7.0,7.0,7.0,,7.0,,,,,,,,,,,,
Dennis Kelly,,,4.0,,,2.0,4.0,2.0,3.0,3.0,10.0,3.0,2.0,,,,,,,,
Scott Kooistra,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
Taylor Lewan,,,,3.0,6.0,10.0,10.0,9.0,6.0,,7.0,,,,,,,,,,
Phil Loadholt,,,,8.0,6.0,8.0,7.0,7.0,5.0,,,,,,,,,,,,
Sean Locklear,,,,1.0,8.0,5.0,8.0,5.0,4.0,6.0,2.0,6.0,,,,,,,,,
Jake Long,,,,11.0,13.0,12.0,9.0,5.0,7.0,,,,,,,,,,,,
Daniel Loper,,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,
Bobby Massie,,,,5.0,1.0,7.0,8.0,6.0,6.0,7.0,3.0,4.0,7.0,,,,,,,,
Bryant McKinnie,,,,4.0,10.0,11.0,7.0,6.0,6.0,5.0,12.0,6.0,7.0,1.0,6.0,,,,,,
Marcus McNeill,,,,13.0,9.0,9.0,10.0,7.0,5.0,,,,,,,,,,,,
Jordan Mills,,,,9.0,6.0,3.0,9.0,7.0,5.0,,,2.0,,,,,,,,,
Eugene Monroe,,,6.0,8.0,4.0,6.0,5.0,6.0,,,,,,,,,,,,,
Derek Newton,,,,,1.0,6.0,6.0,8.0,7.0,,,,,,,,,,,,
Michael Oher,,,,8.0,8.0,7.0,7.0,7.0,4.0,7.0,,,,,,,,,,,
Russell Okung,,,4.0,5.0,10.0,4.0,8.0,7.0,6.0,10.0,8.0,,,,,,,,,,
Shane Olivea,,,,10.0,9.0,10.0,4.0,,,,,,,,,,,,,,
Frank Omiyale,,,,,,,1.0,,7.0,2.0,2.0,,,,,,,,,,
Michael Otto,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,
Tony Pashos,,,,,,3.0,7.0,10.0,8.0,,,4.0,,4.0,,,,,,,
Barry Richardson,,,,,7.0,5.0,7.0,,,,,,,,,,,,,,
Will Richardson,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
Greg Robinson,,,5.0,5.0,4.0,,4.0,6.0,,,,,,,,,,,,,
Michael Roos,,,,7.0,7.0,7.0,13.0,12.0,8.0,7.0,6.0,8.0,,,,,,,,,
Rodger Saffold,,,6.0,2.0,4.0,,,,,,,,,,,,,,,,
Ty Sambrailo,,,,,2.0,2.0,4.0,1.0,4.0,,,,,,,,,,,,
Mitchell Schwartz,,,,7.0,6.0,6.0,6.0,10.0,15.0,19.0,15.0,,,,,,,,,,
Jonathan Scott,,,,3.0,,,3.0,5.0,3.0,3.0,,,,,,,,,,,
Kevin Shaffer,,,,4.0,7.0,8.0,5.0,8.0,5.0,3.0,2.0,,,,,,,,,,
Brandon Shell,,,,,2.0,5.0,5.0,4.0,6.0,5.0,,,,,,,,,,,
Andre Smith,,,,,6.0,8.0,8.0,4.0,8.0,,4.0,3.0,,,,,,,,,
Nate Solder,,,,8.0,11.0,8.0,9.0,,8.0,10.0,8.0,8.0,,6.0,,,,,,,
